State,Year,Total Banks,Avg ROA,Avg Capital Ratio,Total Assets,Avg Uninsured Deposit Pct
IN,2024,93,0.9913476240274187,14.023428866252726,759988937,28.988814750601048
IN,2025,93,1.0293677004366113,14.182476553666202,841834848,30.421535602661177
KS,2018,244,1.0721523668615691,20.406716200850294,285225829,18.81263500336748
KS,2019,233,1.0572614680092207,20.617787958624895,296428700,19.23541260043478
KS,2020,223,1.075845410107439,10.509124738950419,330073149,20.809926787464686
KS,2021,219,1.1850468106765604,10.763987017602313,355649160,22.360890798654047
KS,2022,213,0.9379853553762952,10.401871690746376,362574324,23.388625583319968
KS,2023,210,1.069340468697591,10.311197004407129,372791783,22.537575720558113
KS,2024,204,1.0428712392206274,10.259987449288811,380745579,22.56482822040757
KS,2025,198,1.1836219757732984,11.084252673650218,371100760,23.246865047884544
KY,2018,156,1.1936266515102572,20.558484264075904,238826317,14.266969366633107
KY,2019,149,1.2568262536485986,20.64944556402494,240983150,14.960022426913346
KY,2020,138,1.1298160030919067,11.380342610518381,264443033,16.77672680239628
KY,2021,131,1.1740344464248964,11.24125266754238,290432798,18.699171392747523
KY,2022,125,0.9988904197696702,10.892017563025686,293212105,20.686680379964308
KY,2023,123,0.9300611807258746,10.800641992396635,299020541,20.775151933629715
KY,2024,122,0.9671194672735907,10.76867248081186,312643194,20.95438241637675
KY,2025,121,1.1636116201545694,10.986336851488637,329256073,21.447894101766217
LA,2018,119,1.051693986444176,19.97854553922605,317123161,22.825477172174537
LA,2019,116,1.1754453054746186,20.49694336390576,328684325,23.24896610843137
LA,2020,114,0.8683442698408961,11.467082991989697,298117931,24.61846068087173
LA,2021,112,1.1449987264119377,11.331048825146137,262873026,26.374897217122772
LA,2022,111,1.0403546928894827,11.575306570571403,281243533,28.19323150007398
LA,2023,110,1.273554786893569,11.508700926635484,296842254,27.57369978049629
LA,2024,109,0.9551886806481658,10.605522342881368,306512080,27.465792051269958
LA,2025,108,1.1007783813874155,10.179463470199513,319132957,27.893393779096456
MA,2018,126,1.6239123260076158,21.4002126467221,1609198964,21.837511381710314
MA,2019,124,1.5970536223221408,22.78962369405588,1621795259,23.344742074282593
MA,2020,115,1.4628435877347061,15.253553087876307,1965065025,26.067594195478744
MA,2021,111,1.852107507459479,15.829288387459078,2053685685,28.27241236137528
MA,2022,108,1.2599273078835416,14.828221473277258,2008557511,29.227223913831363
MA,2023,103,1.3477943394659986,14.02797480482954,1985698548,27.6665075826707
MA,2024,103,1.2024217493620324,14.050463771950913,2191732118,27.9280635893361
MA,2025,101,1.291537930364524,14.035195927864923,2345384244,28.41293695218318
MD,2018,48,0.7252777805532564,20.397687781799327,178560784,16.100336076941538
MD,2019,45,0.621829680251392,20.91015146852174,180381737,17.06966963018401
MD,2020,39,0.6339847302174171,14.19892000312005,189865205,18.817791313356164
MD,2021,36,0.926217930222203,14.611203951306907,214191369,21.08632170455514
MD,2022,33,0.9744123667460359,13.849725323722904,226024998,21.439088167595553
MD,2023,32,0.9956273289535956,12.87231020286208,236429752,18.437414445645043
MD,2024,30,0.7878529153182032,13.151884169297883,243140469,18.191095594406328
MD,2025,30,0.8514008003308476,13.343306448170326,207106941,18.046537585336253
ME,2018,26,0.8619017174212288,17.28896228683506,111884711,12.899739269124739
ME,2019,26,0.9510391026115125,17.705910211627916,117729726,13.854468031589006
ME,2020,25,0.5781717916724672,13.458383531529597,130971136,15.316849644255816
ME,2021,23,1.1934152205536719,12.240617765260874,145844521,18.680834395818962
ME,2022,23,0.6468016653468015,10.463275868422173,155048974,19.645646617832373
ME,2023,23,0.6183857923834978,10.432450924641778,166703733,16.55846111402855
ME,2024,23,0.5644768891754576,11.253968841025893,173145555,16.899239263258636
ME,2025,22,0.6833649285232964,11.808993204306853,186078170,16.68443283553551
MI,2018,98,1.3232261260722136,24.9905181404706,332020329,22.016418929789427
MI,2019,94,1.3459942632660993,26.441690832729503,315515195,23.0405302048322
MI,2020,89,1.373483417791769,18.609337378963655,332700082,24.750088594040044
MI,2021,86,1.5800337448104462,20.797801028135762,354044542,28.316695694775092
MI,2022,82,1.421992168354265,33.73879491021489,317534314,29.55065798412276
MI,2023,80,1.4278848669243087,45.102726315582515,254644217,26.876339169304728
MI,2024,79,1.0817295645974259,120.68778200216597,270093928,26.586082930998618
MI,2025,78,1.926957831393269,234.41489016545395,279795036,27.391447081483133
MN,2018,306,1.2337805004725426,19.420852272684492,293561048,16.04116543637928
MN,2019,289,1.1636041431685284,18.475709615584247,306750434,16.417058127420315
MN,2020,281,1.1694134188242336,13.137314918425579,369341486,18.66004992857914
MN,2021,275,1.2999433666244486,13.854446265528201,423324424,21.140677694787936
MN,2022,265,0.9658263424880101,13.515425564952693,460659575,22.06206465535812
MN,2023,257,1.115795824064527,13.393886644796105,492465600,20.182665288981408
MN,2024,249,1.0551127797604924,13.81032853031421,499730586,19.539291083156545
MN,2025,240,1.163499241021234,13.621912538322675,464953056,19.79459244228678
MO,2018,268,1.2819699189405371,22.373359577460754,646118818,18.014679870695332
MO,2019,258,1.2968979167093282,21.823637421573903,682664079,18.553703832864496
MO,2020,249,1.3015752474189473,13.208458275224784,771510384,20.25864353286937
MO,2021,241,1.4264638646028343,13.328905691681285,896219791,22.29474776756379
MO,2022,221,1.0945513146455539,12.90429589553705,940257110,23.704201371508475
MO,2023,211,1.292709418323314,12.612785617300478,975858427,22.25633704923672
MO,2024,209,1.2598919210919968,12.51484018628923,1021783254,22.229103498382706
MO,2025,207,1.3940052401920981,11.705240843159599,1167265381,22.576710198092517
MS,2018,73,1.094069640614343,18.391589718422527,400228448,21.056697575533125
MS,2019,73,1.1026208716331312,18.633182085312477,431064287,21.778942393874782
MS,2020,71,0.9104718004690355,9.791971544264348,491184825,23.417925199529265
MS,2021,69,1.22398485569856,8.392613074719861,570821753,25.415908829710265
MS,2022,68,1.0703411956675104,7.5305712118965324,653243121,27.859509830393442
MS,2023,65,1.344089517027519,7.822685057478908,685554555,28.161351271757955
MS,2024,62,1.0713531740383284,8.208303000170408,683407304,28.951206837598047
MS,2025,61,1.0693830769397104,7.835612656878111,706631645,29.48429356090377
MT,2018,48,1.34920548552797,22.061533670018317,144587780,17.26903683762882
MT,2019,47,1.4040453305644502,21.867145213118874,159102071,18.2753223009311
MT,2020,43,1.584340167320097,15.916536981430639,191686968,22.648215454234155
MT,2021,41,1.6550946548512127,15.687009994745955,231539508,26.423580513350316
MT,2022,40,1.432940659917685,15.38774524126347,307659743,27.42388242530883
